SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,4989,4989,0,0,0,-16,-16,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,422,154,268,0,0,2,-6,8,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,2568,1033,1517,18,0,87,11,74,2,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,1765,846,903,16,0,255,83,171,1,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,2015,1491,516,8,0,125,80,45,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,2435,1279,1135,21,0,173,-169,341,1,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,1968,651,1245,72,0,70,-177,245,2,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,2722,1061,1573,88,0,51,-207,255,3,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2266,779,1487,0,0,9,-7,16,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,769,269,497,3,0,2,-80,82,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,873,456,411,6,0,63,55,8,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,360,298,54,8,0,31,31,0,0,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,983,490,483,10,0,38,-26,63,1,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,307,202,102,3,0,38,32,6,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,1366,943,416,7,0,47,24,21,2,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,1440,942,494,4,0,71,50,21,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,4,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,91,30,61,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,10,0,10,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1,0,1,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,1,3,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,4,3,1,0,0,0,0,0,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,3,1,2,0,0,0,0,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,3,3,0,0,0,0,0,0,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,2,2,0,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,16,12,4,0,0,0,0,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,99,89,10,0,0,0,0,0,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,0,0,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,0,0,0,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,2,1,1,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,5,3,2,0,0,0,0,0,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,1,0,1,0,0,0,0,0,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,1,1,0,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,27,18,7,2,0,0,0,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,2,1,1,0,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,85,84,0,1,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,150,94,55,1,0,0,-1,0,1,,
44,AS,Assam,AS_Biswanath,Biswanath,58,42,16,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,24,17,7,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,98,16,82,0,0,0,0,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,16,16,0,0,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,52,52,0,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,102,102,0,0,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,96,90,6,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,334,329,5,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,77,72,5,0,0,0,0,0,0,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,89,80,9,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,57,38,4,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,272,184,88,0,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,78,71,5,2,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,267,267,0,0,0,0,0,0,0,,
58,AS,Assam,AS_Jorhat,Jorhat,145,91,54,0,0,0,0,0,0,,
59,AS,Assam,AS_Kamrup,Kamrup,215,193,21,1,0,0,0,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,4934,4539,386,9,0,0,-3,0,3,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,41,32,7,2,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,106,86,20,0,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,86,76,10,0,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,85,79,6,0,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,21,21,0,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,49,21,28,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,330,304,25,1,0,0,0,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,28,19,9,0,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,29,3,26,0,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,122,86,35,1,0,0,0,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,7,6,1,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,114,108,6,0,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,105,102,2,1,0,0,-1,0,1,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,28,28,0,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,149,30,117,2,0,8,6,1,1,,
76,BR,Bihar,BR_Arwal,Arwal,139,32,106,1,0,12,12,0,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,294,95,198,1,0,7,7,0,0,,
78,BR,Bihar,BR_Banka,Banka,262,32,230,0,0,5,2,3,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,595,197,394,4,0,67,66,1,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,693,215,472,6,0,50,29,20,1,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,290,79,208,3,0,2,-5,7,0,,
82,BR,Bihar,BR_Buxar,Buxar,258,34,224,0,0,14,9,5,0,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,392,93,292,7,0,8,-9,17,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,279,42,232,5,0,8,1,7,0,,
84,BR,Bihar,BR_Gaya,Gaya,321,120,198,3,0,15,11,4,0,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,379,118,261,0,0,61,54,7,0,,
86,BR,Bihar,BR_Jamui,Jamui,116,31,84,1,0,6,2,4,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,305,57,245,3,0,18,18,0,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,215,34,179,2,0,6,5,1,0,,
89,BR,Bihar,BR_Katihar,Katihar,389,98,290,1,0,0,-1,1,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,352,56,293,3,0,14,14,0,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,221,47,172,2,0,8,-2,10,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,157,28,129,0,0,10,8,2,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,238,54,183,1,0,13,13,0,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,553,120,431,2,0,17,10,7,0,,
95,BR,Bihar,BR_Munger,Munger,473,143,329,1,0,24,17,7,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,528,158,365,5,0,17,15,2,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,389,158,226,5,0,3,-6,9,0,,
98,BR,Bihar,BR_Nawada,Nawada,407,102,302,3,0,36,21,15,0,,
100,BR,Bihar,BR_Patna,Patna,1351,698,641,12,0,237,221,16,0,,
102,BR,Bihar,BR_Purnia,Purnia,339,60,279,0,0,22,22,0,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,386,45,336,5,0,7,2,5,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,276,90,186,0,0,5,1,4,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,387,65,316,6,0,2,1,1,0,,
106,BR,Bihar,BR_Saran,Saran,286,76,205,5,0,0,-12,12,0,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,188,51,137,0,0,8,5,3,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,103,11,91,1,0,2,2,0,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,167,36,128,3,0,0,0,0,0,,
110,BR,Bihar,BR_Siwan,Siwan,529,116,411,2,0,20,13,7,0,,
111,BR,Bihar,BR_Supaul,Supaul,319,39,280,0,0,13,-2,15,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,250,72,175,3,0,3,2,1,0,,
99,BR,Bihar,BR_West Champaran,West Champaran,299,101,196,2,0,1,-8,9,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,492,84,401,7,0,0,0,0,0,,
0,CT,Chhattisgarh,CT_Other State,Other State,1,0,1,0,0,0,0,0,0,,
